base,trial,max_idx
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
9,7,1
9,8,0
11,9,1
12,10,1
14,11,2
15,12,2
15,13,1
17,14,2
18,15,2
20,16,3
20,17,2
21,18,2
21,19,1
22,20,1
23,21,1
24,22,1
25,23,1
26,24,1
26,25,0
28,26,1
29,27,1
32,28,3
32,29,2
32,30,1
33,31,1
