base,trial,max_idx
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,0
9,8,0
11,9,1
12,10,1
14,11,2
14,12,1
15,13,1
17,14,2
18,15,2
20,16,3
20,17,2
21,18,2
23,19,3
24,20,3
25,21,3
26,22,3
28,23,4
29,24,4
30,25,4
31,26,4
32,27,4
33,28,4
34,29,4
34,30,3
34,31,2
