base,trial,max_idx
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,0
9,8,0
11,9,1
15,10,4
15,11,3
17,12,4
14,13,0
15,14,0
16,15,0
17,16,0
18,17,0
20,18,1
21,19,1
22,20,1
23,21,1
24,22,1
26,23,2
28,24,3
29,25,3
30,26,3
31,27,3
33,28,4
33,29,3
34,30,3
34,31,2
