base,trial,max_idx
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
9,7,1
11,8,2
11,9,1
12,10,1
14,11,2
14,12,1
15,13,1
15,14,0
17,15,1
17,16,0
18,17,0
20,18,1
20,19,0
21,20,0
22,21,0
23,22,0
24,23,0
25,24,0
26,25,0
27,26,0
28,27,0
33,28,4
33,29,3
31,30,0
32,31,0
