base,trial,max_idx
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,0
11,8,2
12,9,2
14,10,3
15,11,3
17,12,4
18,13,4
19,14,4
20,15,4
21,16,4
22,17,4
23,18,4
20,19,0
25,20,4
26,21,4
26,22,3
24,23,0
25,24,0
30,25,4
29,26,2
32,27,4
33,28,4
33,29,3
34,30,3
34,31,2
