base,trial,max_idx
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,0
9,8,0
11,9,1
12,10,1
12,11,0
14,12,1
15,13,1
15,14,0
17,15,1
18,16,1
19,17,1
20,18,1
21,19,1
22,20,1
23,21,1
24,22,1
25,23,1
26,24,1
28,25,2
29,26,2
32,27,4
31,28,2
33,29,3
33,30,2
33,31,1
