base,trial,max_idx
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,0
9,8,0
11,9,1
11,10,0
12,11,0
14,12,1
14,13,0
15,14,0
16,15,0
17,16,0
22,17,4
23,18,4
24,19,4
25,20,4
26,21,4
26,22,3
28,23,4
29,24,4
30,25,4
31,26,4
32,27,4
33,28,4
34,29,4
34,30,3
32,31,0
